brand,model,screen_size,color,harddisk,cpu,ram,OS,graphics,price
acer,CB317-1H-C6RK,17.3,Silver,128.0,Celeron N,4.0,Chrome OS,Integrated,328.67
Dell,Inspiron 15 3530,15.6,Black,2.0,Core i7 Family,64.0,Windows 11 Home,Integrated,1000.0
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
LG,15Z90RT-K.ADB9U1,16.0,Neptune Blue,2.0,Intel Core i7,32.0,Windows 11 Home,Integrated,1899.0
acer,A514-56M-576D,14.0,Gray,512.0,Core i5,8.0,Windows 11 Home,Integrated,499.99
Dell,Inspiron 5620 Laptop,16.0,"Gray, Platinum Silver",1000.0,Core i7,32.0,Windows 11 Pro,Integrated,1020.33
HP,17-cn0003dx,17.3,Silver,1000.0,Intel Core i3,32.0,Windows 11,Integrated,619.99
Lenovo,e15,13.0,Black,256.0,8032,8.0,Windows 10 Pro,Integrated,799.0
Dell,XPS 13 9315,13.4,Sky,1.0,Core i7,32.0,Windows 11 Pro,Integrated,1126.85
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
Lenovo,82XQ001GUS,15.6,Black,256.0,AMD Ryzen 3 2300X,8.0,Windows 11 Home,Integrated,499.0
Lenovo,Lenovo ideapad Flex 5,14.0,Graphite Grey,256.0,Ryzen 5 5500U,16.0,Windows 11,Integrated,622.04
Dell,Latitude,15.6,Black,256.0,Core i5,8.0,Windows 11 Pro,Integrated,748.47
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
ASUS,ASUS ZenBook Pro Duo 15,15.6,Black,1.0,Core i7,16.0,Windows 11,RTX 3070Ti,2499.99
Dell,XPS 13 9320,13.4,Platinum,1.0,Core i7,16.0,Windows 11 Pro,Integrated,1305.17
Razer,Blade 15,15.6,Black with illuminated Razer Logo,1.0,Intel Core i7 12800H,16.0,Windows 11 Home,RTX 3070 Ti,1659.68
HP,HP Notebook 15-dy1731ms,15.6,Silver,128.0,Intel Core i3,8.0,Windows 10,Integrated,377.0
Lenovo,Newest Flagship Lenovo Chromebook,14.0,Abyss Blue,64.0,Cortex,4.0,Chrome OS,Integrated,299.0
DELL,Latitude 5530,15.6,Grey,1.0,Core i5 Family,32.0,Windows 11 Pro,Integrated,939.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
acer,AN16-41-R5KC,16.0,Black,1.0,Ryzen 9,16.0,Windows 11 Home,Dedicated,1649.99
ASUS,Zephyrus Duo,16.0,Black,2.0,Ryzen 9,32.0,Windows 11 Pro,Dedicated,3849.99
ASUS,ASUS Laptop L210,11.6,Star Black,64.0,Celeron,4.0,Windows 11 S,Integrated,252.54
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
HP,Pavilion X360,14.0,Gold,256.0,Core i5-1130G7,8.0,Windows 11 Home,Integrated,499.99
LG,16Z90Q-R.AAS8U1,16.0,Gray,1.0,Core i7,16.0,Windows 11 Home,RTX2050,1612.99
SAMSUNG,Samsung Chromebook,12.2,Light Titan,32.0,Celeron,4.0,Chrome OS,Integrated,447.95
LENOVO,IdeaPad,15.6,Grey,1.0,Core i3,20.0,Windows 11 Home,Integrated,487.0
